Franchise Number,Name,Owner,Address,City,State,Zip
5915,Warminster,"Lutz, Steven","777 Schwab Road, Suite P",Hatfield,PA,19440-
5921,Middletown/Springboro,"Duncan, Jennifer",4645 Emerald Way,Middletown,OH,45044-
5925,Western Dutchess County,"Morrissey, Gilbert & Sheryl L.",10 A Lumen Lane,Highland,NY,12528-
5931,Oxnard,"Vujovich, Patricia & Nunes, Michael",79 E. Daily Drive #513,Camarillo,CA,93010-
5952,Springfield/Greene County,"Grimm, Brian K. & Bryngelson, Daniel D. & Bryngelson, David",765 N. Miller,Springfield,MO,65802-
5962,Central Delaware County,"May, Jr., Michael",119 Springfield Avenue,Folsom,PA,19033-
5964,Tri-County,"Collins, Don & Theresa A.",925 Akin Lunsford Road,Canon,GA,30520-
5966,Medina County,"Valega, Janis",400 N State Road,Medina,OH,44256-
5986,Putnam County,"Killebrew, C. Edward & Wendy",608 Main Street,Palatka,FL,32177-
5994,Canton,"Spensley, John & Granger, Adam & Brown, Eric",43454 N. I-94 Service Dr,Belleville,MI,48111-
8013,Casper - BSM,"Sleep, Gerald & Gale & Sleep, Jeffrey & Sleep, John",P.O. Box 1982,Casper,WY,82602-
8105,Grand Prairie,"Higginbotham, Bryan & Pamela & Higginbotham, Brandon",2610 Aviation Parkway,Grand Prairie,TX,75052-
8109,North Austin/SW Williamson County,"Blincoe, Robert & Donna & Blincoe, II, Robert M.","1730 County Rd 269, Ste A",Leander,TX,78641-
8114,Hamilton County,"Johnson, Andrew & Kimberly",15231 Herriman Blvd.,Noblesville,IN,46060-
8133,Jacksonville Beach/Ponte Vedra,"Braddock, Tom & Robin","446 3rd Street, Suite #10",Neptune Beach,FL,32266-
8138,Porter County,"Mitchell, Sean & Tiffany",1608 Firestone Ln.,Valparaiso,IN,46383-
8140,Lebanon/Hanover/Littleton,"Perez, Miguel & Melanie",1088 Route 4A,Enfield,NH,03748-
8159,Woodland Hills,"Hedding, Brandon & Patrese","21250 Califa Street, #103",Woodland Hills,CA,91367-
8176,Englewood/East Littleton,"Mayfield, Theresa & Mayfield, Estate of Gary",5201 South Santa Fe Drive,Littleton,CO,80120-
8181,Muskegon,"Mulder, Randall","4075 Airline Rd, Suite A",Muskegon,MI,49444-
8187,Lansdale,"Lutz, Steven","777 Schwab Road, Suite P",Hatfield,PA,19440-
8196,SW Monroe County,"Wandtke, James & Michele",1520 Emerson Street,Rochester,NY,14606-
8200,New Kent/Williamsburg/Northern Neck,"Butler, David (Joey) & Nina",100 Roxbury Industrial Center,Charles City,VA,23030-
8204,Northwest Bergen,"Vingoe, Charles & Donna",151 Crescent Ave,Waldwick,NJ,07463-
8216,"Midtown Manhattan, Hudson Yards","Citrangola, Robert E.",530 West 30th Street Suite 21F,New York,NY,10001-
8217,The Southtowns,"Braun, Thomas & Lynn & Braun, Travis & Braun, Taylor & Braun, Nicole",97 Evans Street,Hamburg,NY,14075-
8218,Media,"May, Jr., Michael",119 Springfield Avenue,Folsom,PA,19033-
8219,The Mountains,"Collins, Don & Theresa A.",3881 Hollywood Highway,Clarkesville,GA,30523-
8220,Kennett Square/Oxford,"Hughes, Michael",220 Old Baltimore Pike,Nottingham,PA,19362-
8241,Virginia Beach,"Simeone, Margaret & Cheracles, Anna & Bolin, Katherine",2633 Production Road,Virginia Beach,VA,23454-
8245,Barberton/Norton,"Fosdick, Michal",P.O. Box 22,Barberton,OH,44203-
8248,Whitemarsh/Cheltenham,"DiPrinzio, Andreo",P.O. Box 579,Conshohocken,PA,19428-
8266,Monroe/West Monroe,"Legg, Donald & Legg, Corbin",825 Stone Avenue,Monroe,LA,71201-
8267,"Cheatham, Robertson and Dickson Counties","Sullins, Heather P. & Cody & Pospisil, Bob & Lori & Sullins, Cory",229 Innovation Way Suite B,Hendersonville,TN,37075-
8270,White Plains,"Pelli, Antoinette",67 Grant Ave.,Harrison,NY,10528-
8284,Hampshire County,"Fall, Kevin & Lori",50 Depot Street,Belchertown,MA,01007-
8293,"Hanover, Goochland & Caroline","Butler, David E. & McDowell, Alexis Paige","306 Ashcake Rd, Ste H",Ashland,VA,23005-
8297,Gateway,"Valega, Janis",400 N State Road,Medina,OH,44256-
8298,"Effingham, Mattoon, Charleston","Wolfe, David & Angie",8372 N. US Hwy 45,Effingham,IL,62401-
8309,Berrien County,"Rosenhagen, Joseph & Homer, Christopher",P.O. Box 151,St. Joseph,MI,49085-
8319,East Hamilton/Fairfield,"Duncan, Jennifer",4645 Emerald Way,Middletown,OH,45044-
8323,Fredericksburg,"Wenger, James D. & Jennifer A.",11001-B Pierson Drive,Fredericksburg,VA,22408-
8332,The Quad Cities,"Wesson, Mike",3470 Gnat Pond Road,Muscle Shoals,AL,35661-
8333,Saginaw,"Miller, Randy & Tina",470 N. Adams St.,Saginaw,MI,48604-
8355,Whitehall,"Davis, Stephen & Dawn",860 N Kiowa St.,Allentown,PA,18109-
8361,Northwest Dayton,"Pedtke, Brian",7501 Jacks Lane,Clayton,OH,45315-
8365,The Lakes Region,"Rouleau, Gregg & Mancini, Fernando",635 Main Street #101,Laconia,NH,03246-
8368,East Baton Rouge,"Burychka, Darren",11923 Cloverland Avenue,Baton Rouge,LA,70809-
8371,Bath/Brunswick,"Cox, Shawn",P.O. Box 40,Topsham,ME,04086-
8373,Olathe/Lenexa,"Bates, Cory & Hogan, Michael",15365 S. Keeler Street,Olathe,KS,66062-
8376,Crescenta Valley/East Glendale,"Barlow, April & Bridges, Grant",12847 Arroyo Street,Sylmar,CA,91342-
8386,Sullivan and South Ulster Counties,"Johnson, Brad & Johnson, Laura B. & Johnson, Brittany A.",5020 Route 9W #10,Newburgh,NY,12550-
8406,Calvert County,"Whittles, Vincent",22690 Three Notch Road,Lexington Park,MD,20653-
8413,East Windsor,"Kluger, David & Kluger, Gina",295 Princeton Hightstown Rd. PMB #293,West Windsor,NJ,08550-
8426,Dubuque,"Wiedenman, Todd",10479 Timothy Street,Dubuque,IA,52003-
8452,Upper Darby,"Massey, Richard",301 Carson Drive,Bear,DE,19701-
8459,Cranston,"Tutsch, Jr., Joseph & Tutsch, Kayla & Mattos, Frank & Cabral, Jason & Erica & Mazurek, Richard & Jenna",1193 Broad St.,Providence,RI,02905-
8462,Jackson/Crockett County,"Caldwell, David",66 Miller Avenue,Jackson,TN,38305-
8464,Altoona,"McCullough, Stephen & Kathy",2309 Union Avenue,Altoona,PA,16602-
8477,Greensboro North,"Holcomb, Britt & Stacy",2902 Manufacturers Road,Greensboro,NC,27406-
8480,Laguna Hills/Laguna Niguel,"Gerrits, Vincent & Keli",23016 Lake Forest Drive #368,Laguna Hills,CA,92653-
8481,Marlboro/Concord,"Lee, Kevin & Cynthia & St. Onge, Christopher J. & Stroh, Brendan J.",438 King Street Unit 1B,Littleton,MA,01460-
8484,Naperville,"Young, Gary & Marsha","10S185 Schoger Drive, Unit 84",Naperville,IL,60564-
8485,North Huntsville,"Fairris, Steven B.",1320 Fletcher Street,Huntsville,AL,35801-
8494,South Burlington County,"Deutsch, Joseph",1 Coleman Court Suite E & F,Southampton,NJ,08088-
8500,Mid-Upper Shore,"Sartorio, David R.",P.O. Box 500,Hebron,MD,21830-
8501,Talbot/Dorchester,"Sartorio, David R.",P.O. Box 500,Hebron,MD,21830-
8503,Southern Scioto & Lawrence Counties,"Dunlap, Beverly & Lovins, Jack & Glenna",P.O. Box 78,Ironton,OH,45638-
8510,Tri-Cities Plus,"Bahen, Andrew M. & Theresa C.",12200 Deergrove Road,Midlothian,VA,23112-
8515,South Charlotte,"Bolton, Wendy",7845 Colony Road Suite C4-220,Charlotte,NC,28226-
8519,South Roanoke County,"Mongan, William Quinn & Lisa R. & Mongan II, William Quinn & Henson, Kayla",1301 Southside Drive,Salem,VA,24153-
8521,Vigo County,"Overton, Chad",9430 East US Hwy 40,Terre Haute,IN,47803-
8523,Northeast Delta Lands,"Rigby, Gary & Denise",P.O. Box 337,Kosciusko,MS,39090-
8532,Warren County,"Duncan, Jennifer",4645 Emerald Way,Middletown,OH,45044-
8534,Beckley,"Kelly, Steven J.",416 City Avenue,Beckley,WV,25801-
8541,Eastern Rockland County,"Vingoe, Charles & Donna",151 Crescent Avenue,Waldwick,NJ,07463-
8544,West Dayton/Preble County,"Pedtke, Brian",7501 Jacks Lane,Clayton,OH,45315-
8548,South Arlington,"Higginbotham, Bryan & Pamela & Higginbotham, Brandon","105 E. Oak Street, #203",Mansfield,TX,76063-
8554,Friendswood/Pearland,"Munoz, Pat & Tammy & Munoz, Jonathan",P.O. Box 2754,Pearland,TX,77588-2754
8557,Northern Rhode Island,"McKendall, Donald & Tina","290 Old County Road, Unit 17344",Smithfield,RI,02917--4128
8558,The Attleboros,"McKendall, Donald & Tina",679 Washington Street Suite 8 #216,Attleboro,MA,02703-
8559,Southern Worcester County,"McKendall, Donald & Tina",1225 Providence Road PMB 137,Whitinsville,MA,01588-
8561,Slidell,"Scott, Joe & Marietta",38121 Coast Blvd,Slidell,LA,70458-
8566,Brighton/Howell,"Spensley, Robert & Mary & Spensley, Christopher R. & Spensley, Chad",2094 Pless Drive,Brighton,MI,48114-
8586,South Shreveport,"Legg, Donald & Legg, Corbin",8815 St. Vincent,Shreveport,LA,71106-
8596,Tarzana/Reseda,"Hedding, Brandon & Patrese","21250 Califa Street, #103",Woodland Hills,CA,91367-
8600,Irvine,"Sibley, Rodney",6 Morgan Suite 126,Irvine,CA,92618-
8604,Newark,"Mehan, Sr., Andrew & Mehan, Linda & Mehan, Sean & Brown, Tara",225 N. James Street Suite C,Wilmington,DE,19804-
8612,South Shasta County,"Williams, Douglas D. & DeAnn D.",P.O. Box 493778,Redding,CA,96049-3778
8613,Peoria/West Glendale,"Gilbreath, Raymond C. & Tamara",P.O. Box 5807,Peoria,AZ,85385-5807
8616,SE Summit County/Lake Township,"Fosdick, Michal",P.O. Box 22,Barberton,OH,44203-
8627,Northwest Stark County,"Kolenz, Laurel C. & Gentile, Maureen L.",4884 Higbee Avenue NW Suite 200,Canton,OH,44718-
8639,Northwest San Antonio,"Hall, Greg & Tammie",11591 Galm Road,San Antonio,TX,78254-
8645,Lynchburg/Bedford & Campbell Counties,"Clarke, Earl & Edith",9628 E Lynchburg Salem Turnpike,Goode,VA,24556-
8656,Holland/West Ottawa County,"Mulder, Randall","4075 Airline Rd, Suite A",Muskegon,MI,49444-
8662,Brazos Valley,"Owens, Greg & Julie",707 S. Tabor Avenue,Bryan,TX,77803-
8664,North Central Tazewell County,"Fletcher, Jason B.",113 Sapp St.,Pekin,IL,61554-
8666,Southern McHenry County,"Hammerschmidt, Josephine & Hammerschmidt, Stephen","600 Industrial Drive, Unit K",Cary,IL,60013-
8667,Jonesboro,"Park, Cary",3025 Peabody Drive,Jonesboro,AR,72404-
8670,Lakeland,"Riddle, Larry & Riddle, Estate of Cathy",1018 W. Beacon Road,Lakeland,FL,33803-
8674,Western Lake County,"Valega, Janis",400 N State Road,Medina,OH,44256-
8686,Port Jefferson,"Kluger, Risa",501 Middle Country Road,Coram,NY,11727-
8699,Gaylord & Cheboygan,"Bailey, Douglas & Bailey, Joshua B. & Preston, Daniel G.",P.O. Box 1821,Gaylord,MI,49734-
8700,North Lexington,"Phillips, Jason",P.O. Box 23517,Lexington,KY,40523-
8701,South Lexington,"Phillips, Jason",P.O. Box 23517,Lexington,KY,40523-
8708,Wilson/Nashville,"Reneau, Daniel & Mary",P.O. Box 3131,Wilson,NC,27895-3131
8714,Cass & St. Joseph Counties,"Blodgett, Anthony",P.O. Box 371,Three Rivers,MI,49093-
8715,Seminole & Central Gulf Beaches,"Greenway, Burton & Deanna",7130 Seminole Boulevard,Seminole,FL,33772-
8722,Waco,"Bailey, Roger & Teresa",P.O. Box 21193,Waco,TX,76702-
8734,"Clay, Parke, Sullivan, Vermillion Counties","Overton, Chad",850 North Fruitridge Ave.,Terre Haute,IN,47803-
8741,Howard/Tipton Counties,"Wolf, Sr., Steven & Shelton, Lane",1508 N. Washington,Kokomo,IN,46901-
8745,Norwich and Windham County,"O'Sullivan Jr., John & O'Sullivan, III, John K. & O'Sullivan, Kevin P.",390 W Thames Street,Norwich,CT,06360-
8749,"Weakley, Gibson, Carroll Counties","Caldwell, David & Diane",104 E. Highway 77,Newbern,TN,38059-
8750,Mesquite,"Wiley, Brandon & Regina & Evartt, Edward D.",P.O. Box 851717,Mesquite,TX,75185-
8755,"Sevier, Jefferson & Cocke Counties","McMillon, Allan & Pamela",312 Business Street,Kodak,TN,37764-
8758,Southeastern Cuyahoga County,"Fosdick, Michal",P.O. Box 22,Barberton,OH,44203-
8759,Northwest Dallas,"Clark, Richard & Grace","5430 LBJ Freeway, Suite 1256",Dallas,TX,75240-
8760,Tupelo,"Rigby, Christopher Brian",2984 Cliff Gookin Boulevard,Tupelo,MS,38801-
8761,Sugar Land,"Hart, Mark D. & Natalie M.",740 Industrial Boulevard,Sugar Land,TX,77478-
8768,Greenville/Cleveland,"Miller, Michael & Johnston, Steve",P.O. Box 984,Cleveland,MS,38732-
8771,Perry Hall/White Marsh,"Rappazzo, John & Debra",P.O. Box 235,Kingsville,MD,21087-
8773,Nixa/Branson,"Grimm, Brian K. & Bryngelson, Daniel D. & Bryngelson, David",765 N. Miller,Springfield,MO,65802-
8777,Manchester West,"Rouleau, Michael","497 Hooksett Rd #2, Pmb 341",Manchester,NH,03104-2650
8779,Meridian,"Arrington, Lamar",P.O. Box 307,Meridian,MS,39302-
8787,Montgomery & Pulaski Counties,"Mongan, William Quinn & Lisa R. & Mongan II, William Quinn & Henson, Kayla",110 Fisher Street,Christiansburg,VA,24073-
8788,Corona,"Polizzo, Ed & Zulma","2191 Sampson Avenue, Unit 104",Corona,CA,92879-
8789,Washtenaw County,"Spensley, John & Granger, Adam & Brown, Eric",43454 North I-94 Service Drive,Belleville,MI,48111-
8796,Toms River,"Reilly, Rebecca L. & Reilly, Patrick G.",15 Adafre Avenue,Toms River,NJ,08753-
8798,Northeast Wichita,"Butler, Patrick M.",3225 South Oliver,Wichita,KS,67210-
8805,York/James City County/Poquoson,"Butler, David (Joey) & Nina",100 Roxbury Industrial Center,Charles City,VA,23030-
8809,Woodbury/Deptford,"O'Donnell, Scott",P.O. Box 543,Westville,NJ,08093-
8811,Southwest Morris County,"Bock, Gregory","1248 Sussex Turnpike, Ste B-2",Randolph,NJ,07869-
8815,Northwest Little Rock,"Legg, Donald & Aydlett, Brandon M.",7517 Counts Massie Road,North Little Rock,AR,72113-
8820,"Lenoir, Duplin & Jones Counties","Turner, Tony & Charlene",661 Sussex St.,Kinston,NC,28504-
8821,Bloomington/Gibson City/S. McLean County,"Tucker, Jacob & Deborah",9 Quest Drive,Bloomington,IL,61705-
8822,Tuscaloosa North,"Elmore, James D. & Cory, Jacob A. & Thompson, III, George A.",5500 Jug Factory Road,Tuscaloosa,AL,35405-
8823,Tuscaloosa South,"Elmore, James D. & Cory, Jacob A. & Thompson, III, George A.",5500 Jug Factory Road,Tuscaloosa,AL,35405-
8824,Germantown,"McGrory, Michael & McCabe, Sean",P.O. Box 4040,Philadelphia,PA,19118-
8846,Grand Traverse Area,"Kinsey, Keith & Jessica",920 W. Commerce Drive,Traverse City,MI,49685-
8848,Columbus/Starkville,"Rigby, Gary & Denise",400 B Industrial Park Road,Starkville,MS,39760-1325
8857,Martin County,"Vallejos, Marcos","1235 NE Savannah Road, Suite 102",Jensen Beach,FL,34957-
8859,Carson City/Douglas County/South Lake Tahoe,"Allen, John & Kimberly",193 Shady Lane,Stateline,NV,89449-
8864,Flower Mound/Lewisville,"Mondy, John",P.O. Box 294877,Lewisville,TX,75029-
8867,Vermilion County,"McGuire, David & Suzanne",817 Texas Ave.,Danville,IL,61832-
8872,Norman,"Bates, Cory & Whittle, Michael & Hogan, Michael",3200 Deskin Drive,Norman,OK,73069-
8874,Hancock County,"Franks, Richard",2042 Tiffin Avenue,Findlay,OH,45840-
8876,Mission Viejo,"Macalello, Nick & Sue","25108 Marguerite Pkwy, A-511",Mission Viejo,CA,92692-2400
8884,Paulding/Polk Counties,"Wilson, Ricky & Cathy Joyce & Wilson, Jeremy & Wilson, Zachary",14861 Veterans Memorial Hwy,Dallas,GA,30157-
8888,Southern Cuyahoga County,"Fosdick, Michal",P.O. Box 22,Barberton,OH,44203-
8893,Doylestown,"DiPrinzio, Andreo",P.O. Box 1081,Doylestown,PA,18901-
8899,Del Mar,"Del Valle, Ralph & Suzie","2658 Del Mar Heights Rd, #537",Del Mar,CA,92014-
8900,Poway/Rancho Bernardo,"Del Valle, Ralph & Suzie","13446 Poway Road, #302",Poway,CA,92064-
8903,Cheviot and Cleves,"Haaser, Kevin",4343 Mayhew Avenue,Cincinnati,OH,45238-
8909,Central Union County,"Spinner, Karl",1094 Globe Avenue,Mountainside,NJ,07092--2904
8912,Lodi,"Morris, Perry & Cara","59 Houston Lane, Suite B",Lodi,CA,95240-
8915,Highlands Ranch/NW Douglas County,"Mayfield, Theresa & Mayfield, Estate of Gary",P.O. Box 1254,Englewood,CO,80150-
